作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Group,GENDER,Edu,AGE,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,PrivacyConcern_9,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,DisadvantagingTarget_4,DisadvantagingTarget_5,DisadvantagingTarget_6,DisadvantagingTarget_7,DisadvantagingTarget_8,DisadvantagingTarget_9,DisadvantagingTarget_10,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_4,Trustworthiness_5,Trustworthiness_6,Trustworthiness_7,Trustworthiness_8,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_1,Colonisation_2,Colonisation_3,Colonisation_4,Colonisation_5,Colonisation_6,Colonisation_7,Reflexivity_1,Reflexivity_2,Reflexivity_3,Reflexivity_4,Reflexivity_5,Reflexivity_6,Reflexivity_7,Reflexivity_8,Reflexivity_9,Reflexivity_10,Reflexivity_11,Reflexivity_12,Reflexivity_13,Reflexivity_14,Reflexivity_15,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,试次1,ResponseTime1,试次2,ResponseTime2,试次3,ResponseTime3,试次1.1,试次1反应时（毫秒）.1,试次2.1,试次2反应时（毫秒）.1,试次3.1,试次3反应时（毫秒）.1,试次1.2,试次1反应时（毫秒）.2,试次2.2,试次2反应时（毫秒）.2,试次3.2,试次3反应时（毫秒）.2,试次1.3,试次1反应时（毫秒）.3,试次2.3,试次2反应时（毫秒）.3,试次3.3,试次3反应时（毫秒）.3,试次1.4,试次1反应时（毫秒）.4,试次2.4,试次2反应时（毫秒）.4,试次3.4,试次3反应时（毫秒）.4,试次1.5,试次1反应时（毫秒）.5,试次2.5,试次2反应时（毫秒）.5,试次3.5,试次3反应时（毫秒）.5,试次1.6,试次1反应时（毫秒）.6,试次2.6,试次2反应时（毫秒）.6,试次3.6,试次3反应时（毫秒）.6,试次1.7,试次1反应时（毫秒）.7,试次2.7,试次2反应时（毫秒）.7,试次3.7,试次3反应时（毫秒）.7,试次1.8,试次1反应时（毫秒）.8,试次2.8,试次2反应时（毫秒）.8,试次3.8,试次3反应时（毫秒）.8,试次1.9,试次1反应时（毫秒）.9,试次2.9,试次2反应时（毫秒）.9,试次3.9,试次3反应时（毫秒）.9,试次1.10,试次1反应时（毫秒）.10,试次2.10,试次2反应时（毫秒）.10,试次3.10,试次3反应时（毫秒）.10,试次1.11,试次1反应时（毫秒）.11,试次2.11,试次2反应时（毫秒）.11,试次3.11,试次3反应时（毫秒）.11,试次1.12,试次1反应时（毫秒）.12,试次2.12,试次2反应时（毫秒）.12,试次3.12,试次3反应时（毫秒）.12,试次1.13,试次1反应时（毫秒）.13,试次2.13,试次2反应时（毫秒）.13,试次3.13,试次3反应时（毫秒）.13,试次1.14,试次1反应时（毫秒）.14,试次2.14,试次2反应时（毫秒）.14,试次3.14,试次3反应时（毫秒）.14,试次1.15,试次1反应时（毫秒）.15,试次2.15,试次2反应时（毫秒）.15,试次3.15,试次3反应时（毫秒）.15
lAGJ51Epp1q,Ke5XNRxL,14/01/2025 22:54,14/01/2025 23:08,820,1,111.19.6.52,109.2238695,34.661153,陕西省,西安市,COMPUTER,Windows,Chrome,1280px*720px,4_ENFP,2,4,2,1,3,4,4,5,4,3,4,3,5,5,4,5,5,4,5,4,3,4,3,4,5,5,3,3,3,4,4,4,5,3,3,3,3,4,4,4,2,3,2,2,4,4,3,4,3,4,4,5,5,5,4,5,3,3,4,4,4,3,2,2,1,4,3,4,2,3,2,2,1,2,3,4,2,4,3,3,2,2,3,2,2,1,2,2,5,5,5,3,3,2,3,2,2,1,2,4,4,3,1,2,2,3,4,3,2,2,3,4,4,3,4,4,5,4,3,3,4,4,3,4,4, , , , , , , , , , , , , , , , , , , ,37087.1, ,56426.2, ,25276.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Xy4a2WvZa65,QL0Rk1jM,14/01/2025 22:09,14/01/2025 22:20,670,1,183.225.93.183,102.545359,24.356789,云南省,玉溪市,COMPUTER,Windows,Chrome,1313px*739px,4_ENFP,2,4,2,1,3,4,5,4,4,5,4,3,4,5,3,4,4,3,4,5,3,4,3,4,3,4,4,3,3,5,5,4,4,3,3,4,5,5,4,3,4,4,3,5,4,2,4,3,4,4,5,4,5,5,4,4,3,4,2,4,4,4,2,3,2,2,4,5,2,2,4,4,3,3,4,2,4,3,4,3,3,4,3,4,3,2,4,4,4,4,4,3,4,3,4,5,3,4,2,4,4,4,2,3,2,4,4,2,3,3,2,5,5,4,3,4,4,4,5,5,4,3,2,4,4, , , , , , , , , , , , , , , , , , , ,25697.6, ,34401.8, ,26980.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q1kG9RD8o8G,kMrRv4yM,15/01/2025 00:59,15/01/2025 01:13,790,1,39.129.255.173,101.8536419,24.5652958,云南省,楚雄彝族自治州,COMPUTER,Windows,Chrome,1366px*768px,5_ISFJ,2,4,3,1,3,4,5,5,4,4,5,4,4,4,3,5,5,4,2,4,2,4,4,5,2,4,5,4,2,4,4,4,5,4,4,2,2,4,4,3,2,2,1,2,4,2,4,4,3,4,5,5,4,5,4,4,5,4,4,3,2,2,4,3,5,5,4,5,4,4,5,2,1,4,4,5,4,4,5,4,4,4,3,4,4,5,5,4,5,4,4,3,2,4,4,5,4,2,2,5,4,4,4,5,4,5,5,4,5,4,4,5,5,4,4,5,5,2,2,4,4,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,47389.7, ,44008.8, ,38705, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
oGmNpwyoaVB,27aDbWZM,14/01/2025 23:28,14/01/2025 23:53,1466,1,223.66.20.100,119.9393911,31.7558433,江苏省,常州市,COMPUTER,Windows,Chrome,1920px*1080px,5_ISFJ,2,4,4,1,3,4,4,5,4,4,3,5,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,5,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3,2,3,2,2,5,4,4,4,2,1,2,4,4,4,2,3,3,2,2,3,3,3,2,4,4,3,4,4,4,3,3,4,4,4,3,4,5,4,4,3,4,2,2,3,3,4,4,3,3,3,2,4,3,3,4,4,5,4,5,3,3,4,4,4,4,4,4,4,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,102742.1, ,107650.4, ,45607.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVpW4mddDz,J7qyNrG7,14/01/2025 23:10,14/01/2025 23:28,1097,1,182.87.76.18,115.858545,28.689843,江西省,南昌市,COMPUTER,Windows,Chrome,1536px*960px,5_ISFJ,2,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,3,2,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,2,2,4,4,4,2,2,3,3,3,3,3,3,3,3,4,2,2,2,2,2,3,3,2,4,3,3,2,3,4,4,4,4,3,4,2,2,2,2,3,3,3,2,2,4,3,5,5,5,5,4,4,3,3,3,4,4,4,4,4,2,2,2,4,2,3,2,2,4,4,4,3,2,3,4,3,2,2,2,4,2,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,68687.7, ,27127.7, ,28705.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
g903GnqJJyJ,G7XnBAGe,14/01/2025 22:13,14/01/2025 22:28,906,1,111.121.217.89,105.3105265,27.2943303,贵州省,毕节市,COMPUTER,Windows,Chrome,2560px*1440px,5_ISFJ,2,4,4,1,2,1,2,1,2,1,3,2,3,4,3,1,1,3,2,1,2,2,2,1,1,1,2,2,2,3,3,2,3,3,2,1,1,1,1,1,4,3,1,1,3,3,2,4,4,5,2,4,4,3,3,4,3,2,4,4,4,3,2,3,2,4,3,5,2,3,3,2,3,2,3,3,3,2,2,2,2,3,3,3,2,2,5,5,4,5,5,5,3,1,4,3,1,1,3,4,4,4,2,3,1,3,4,3,4,3,3,4,4,4,2,1,2,2,2,3,2,3,1,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,26433.1, ,27239, ,29578.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bo3dDxvbz5J,xeb0rQX7,15/01/2025 00:22,15/01/2025 00:30,499,1,112.97.61.223,113.955087,22.609406,广东省,深圳市,COMPUTER,Windows,Chrome,1276px*716px,6_INFJ,2,5,4,1,3,4,5,5,4,4,4,5,4,5,5,4,5,4,5,4,4,5,5,5,4,5,4,5,5,4,5,4,4,4,5,4,5,5,4,4,4,5,5,4,4,5,4,4,5,2,1,2,2,1,1,2,2,2,4,5,5,4,2,1,1,5,4,4,2,1,2,1,1,2,2,2,1,4,5,4,5,5,4,5,5,4,4,4,4,4,5,4,2,1,2,2,1,1,1,5,4,4,4,5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,4,5,4,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62310.9, ,10942.3, ,39438.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Xy4r6vKqp9B,KLOkq8AL,14/01/2025 23:08,14/01/2025 23:22,837,1,124.164.43.229,112.8736746,35.493284,山西省,晋城市,COMPUTER,Windows,Chrome,1280px*720px,6_INFJ,1,4,5,1,2,2,3,2,1,2,3,2,4,3,2,3,2,4,5,2,1,4,2,1,2,1,2,1,2,1,2,1,1,2,3,2,1,3,3,2,3,4,2,5,3,4,5,4,4,3,2,3,4,4,3,2,2,1,3,4,4,3,4,2,5,4,3,1,3,4,5,2,3,2,1,3,2,2,3,2,4,3,3,1,2,3,2,3,5,4,3,3,4,5,3,2,3,2,1,4,4,5,3,4,3,5,5,4,3,3,3,4,4,2,3,4,3,2,1,3,1,2,2,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29995.9, ,20199.1, ,28755.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WQ2XvQamNmE,VMJpmZnL,14/01/2025 23:01,14/01/2025 23:14,801,1,123.54.26.18,115.6447667,34.3999827,河南省,商丘市,COMPUTER,Windows,Chrome,1920px*1080px,6_INFJ,1,4,3,1,3,5,5,4,4,5,4,5,4,5,5,4,4,5,4,5,5,4,4,5,4,5,4,5,4,5,5,4,4,5,4,4,5,5,4,4,5,4,5,4,4,4,5,5,4,2,2,1,1,2,1,2,2,1,4,4,5,5,2,2,1,4,5,4,2,2,1,1,2,1,1,2,1,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,2,2,1,1,2,1,2,5,4,4,5,4,4,5,4,5,4,4,5,5,4,4,5,5,4,4,5,4,4,4,5,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12586.1, ,12324.3, ,54716.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bo3dqP1jAYk,5LmZqxde,14/01/2025 22:30,14/01/2025 22:47,1015,1,113.117.145.226,113.3903003,22.5155197,广东省,中山市,COMPUTER,Windows,WeChat,2048px*1152px,6_INFJ,1,3,3,1,3,4,5,4,4,5,4,5,4,4,4,5,5,1,2,4,4,5,3,5,4,4,4,3,4,5,5,4,5,5,4,3,4,4,5,5,4,2,3,4,4,5,5,4,2,4,4,3,2,2,5,2,2,3,4,5,5,4,2,1,2,5,4,2,2,2,3,1,1,2,2,1,1,4,4,5,5,4,4,5,5,4,5,4,4,5,5,4,2,1,3,2,2,1,1,4,5,4,3,4,4,5,4,5,5,4,4,5,4,5,4,5,4,4,5,5,5,4,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,119602.4, ,47535.9, ,28642.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVp9nKA1Qn,Ke5n0PnM,14/01/2025 22:23,14/01/2025 22:43,1171,1,221.197.232.118,117.187317,39.092173,天津市,市辖区,COMPUTER,Windows,Chrome,1366px*768px,6_INFJ,1,5,5,1,3,5,4,5,3,4,4,5,3,4,3,4,5,4,4,5,4,3,5,4,3,4,4,4,3,4,5,5,4,4,5,4,5,5,4,4,3,4,4,3,4,4,5,5,4,2,2,3,3,1,2,2,1,2,4,3,4,3,3,2,1,5,5,4,3,2,3,2,1,2,1,2,3,4,5,4,4,5,3,3,4,5,4,4,4,5,4,3,2,3,5,3,1,2,3,4,5,4,3,5,3,4,4,3,5,4,5,3,4,4,3,4,5,4,5,4,3,5,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,148798.4, ,110507.9, ,32796.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZowrBwRNAR,BMDZdzqL,14/01/2025 22:15,14/01/2025 22:27,708,1,112.47.97.218,118.580069,24.8964381,福建省,泉州市,COMPUTER,Windows,WeChat,1536px*864px,6_INFJ,2,4,4,1,3,3,4,4,3,3,4,3,3,4,4,3,5,3,2,2,3,3,2,2,2,3,3,3,4,4,4,3,3,3,4,3,3,3,2,4,3,4,3,3,3,2,3,3,4,4,3,3,4,5,5,4,4,3,3,4,4,5,2,2,1,3,3,2,3,4,3,4,2,2,3,2,4,3,4,4,3,4,3,4,4,4,3,4,3,4,3,4,4,4,4,2,2,2,3,3,4,4,2,4,2,3,4,4,3,3,4,5,4,4,3,4,4,3,4,3,3,4,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21231.5, ,9747.3, ,39656.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
lAGJ3GE4OBJ,9LQbV1ve,15/01/2025 00:02,15/01/2025 00:15,823,1,163.125.124.171,114.0867734,22.5383279,广东省,深圳市,COMPUTER,Windows,Chrome,2560px*1440px,7_ESFJ,2,4,4,1,3,4,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,5,4,4,5,4,4,5,5,4,5,4,4,5,2,1,3,1,2,2,1,2,2,4,5,4,5,2,1,1,4,4,5,2,1,1,2,1,2,1,1,2,4,5,5,4,4,5,4,5,5,4,5,2,3,2,2,3,2,1,2,2,1,2,4,5,4,4,5,5,4,5,5,4,5,4,4,5,4,4,4,5,5,4,4,5,4,5,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41008.3, ,9838.2, ,24996.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZoAa9EQD42,5M2xzjaL,14/01/2025 23:14,14/01/2025 23:32,1085,1,124.119.50.24,86.037917,44.306,新疆维吾尔自治区,自治区直辖县级行政区划,COMPUTER,Windows,Chrome,1536px*864px,7_ESFJ,2,4,2,1,3,4,4,4,5,5,5,5,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,1,1,1,5,5,5,2,2,2,1,1,1,1,1,1,4,4,5,4,4,5,5,5,5,5,5,4,4,5,5,1,2,2,2,1,1,1,4,4,5,5,5,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32463.3, ,15200.9, ,29463.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVpovQK0Gg,G7XrZV8e,14/01/2025 23:06,14/01/2025 23:21,881,1,182.39.150.76,117.3250044,34.8111483,山东省,枣庄市,COMPUTER,Windows,Chrome,1536px*864px,7_ESFJ,1,4,2,1,3,4,4,5,5,4,3,4,4,4,5,3,4,4,3,4,4,5,5,4,4,5,5,4,4,5,3,4,4,4,5,4,4,5,2,4,4,4,5,4,4,5,4,3,4,5,5,4,4,5,5,2,4,4,4,5,4,4,4,2,4,3,4,4,5,4,4,5,3,4,4,5,5,4,5,5,4,4,5,3,4,4,5,3,5,5,4,4,4,5,5,4,4,5,3,4,4,5,2,4,4,5,4,4,2,4,4,5,4,4,4,5,5,4,4,5,4,4,5,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33957.2, ,11422.4, ,28120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q1kGqXQvgl4,4enkDJ0M,14/01/2025 22:49,14/01/2025 23:06,992,1,113.101.212.49,111.9765937,21.8739766,广东省,阳江市,COMPUTER,Windows,Chrome,1440px*900px,7_ESFJ,2,4,2,1,3,4,5,5,4,4,4,5,2,2,3,4,3,4,4,4,3,3,3,2,4,5,4,4,4,3,3,2,4,4,3,4,3,2,3,2,3,2,4,3,4,4,3,4,5,5,3,4,5,4,2,4,4,3,2,2,2,2,4,5,5,4,3,4,1,2,4,2,1,1,4,3,2,2,3,3,4,4,3,4,3,4,3,3,5,4,5,5,2,4,4,2,1,1,3,4,5,5,3,4,3,5,4,4,5,4,3,4,5,5,4,5,4,3,3,3,4,4,5,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36428.9, ,27055.6, ,25671, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
NPXzQJ2OEmm,neP2REd7,14/01/2025 22:23,14/01/2025 22:41,1079,1,223.85.149.95,105.064829,29.601016,四川省,内江市,COMPUTER,Windows,Chrome,1280px*720px,7_ESFJ,2,5,5,1,3,5,5,5,4,5,4,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5,4,4,5,5,5,4,4,4,5,4,4,5,5,4,2,2,2,2,3,2,1,3,1,4,4,4,4,1,1,1,4,4,3,2,2,3,2,1,2,1,2,1,4,5,4,4,5,5,4,4,4,5,4,4,5,4,3,3,4,4,3,2,2,2,4,4,5,4,4,4,5,5,5,4,5,4,5,5,4,4,5,5,5,5,4,4,5,5,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,66780.2, ,74375.9, ,30733.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q1kGvG5Q0qv,p7YvqoZL,14/01/2025 22:26,14/01/2025 22:39,794,1,60.222.206.109,111.016736,35.049602,山西省,运城市,COMPUTER,Windows,Chrome,1920px*1080px,7_ESFJ,2,4,2,1,3,5,4,5,5,4,4,4,5,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,5,4,5,5,5,5,4,4,4,5,4,4,4,5,5,4,3,4,4,3,4,4,4,4,2,1,1,4,4,5,2,2,2,1,1,1,2,2,1,4,4,4,4,4,5,5,4,4,4,4,5,5,5,4,3,2,3,1,2,2,3,5,4,4,4,4,4,4,5,5,5,4,4,4,5,5,4,4,5,4,5,5,5,5,4,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65428, ,115029.5, ,27737.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WQ2XGYmwOYb,veEX1mJL,14/01/2025 22:27,14/01/2025 22:39,764,1,120.228.254.252,113.0087454,28.2141151,湖南省,长沙市,COMPUTER,Windows,WeChat,1280px*720px,8_ENFJ,2,4,2,1,3,4,5,5,5,4,4,5,4,4,5,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,5,4,4,4,4,5,5,5,4,4,5,4,5,4,4,5,5,4,3,4,4,4,2,5,4,4,2,4,4,5,4,2,2,2,4,4,3,2,1,2,2,1,2,2,1,2,4,4,4,5,4,4,5,5,4,4,4,4,4,3,3,3,2,3,2,1,2,2,4,5,5,4,4,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,5,3,4,4,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6601.8, ,39279.2, ,37442.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Xy4rjkWmqq5,0eyk4r97,14/01/2025 22:23,14/01/2025 22:36,785,1,117.140.171.87,110.1564735,22.6283449,广西壮族自治区,玉林市,COMPUTER,Windows,WeChat,1536px*864px,8_ENFJ,1,4,2,1,3,4,3,4,4,5,3,4,5,4,4,5,4,4,5,4,3,4,2,2,4,4,4,5,4,4,4,3,3,4,4,4,2,3,2,3,4,4,2,3,4,4,5,4,4,5,4,5,4,4,5,4,3,4,4,3,4,2,4,4,3,4,4,3,3,2,4,4,2,3,2,3,2,3,4,4,4,4,3,4,2,2,3,4,4,5,5,3,4,3,4,4,2,3,2,4,5,4,4,3,2,4,4,4,5,4,5,4,4,4,2,4,4,3,3,2,2,3,4,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58573.4, ,42345.5, ,28366.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WQ2Xp1lv49X,DMxovEQe,14/01/2025 23:17,14/01/2025 23:32,940,1,175.16.11.252,126.5683473,43.8546728,吉林省,吉林市,COMPUTER,Windows,Microsoft Edge,1024px*640px,9_ISTP,2,4,6,1,3,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,4,4,4,5,4,5,4,5,4,5,5,4,5,4,4,5,5,4,4,4,5,5,4,4,5,4,5,5,4,4,4,5,3,3,2,4,4,4,4,5,4,4,2,1,1,4,4,5,1,2,2,2,3,2,4,3,4,5,4,4,5,4,4,4,4,5,4,4,4,5,4,5,2,4,4,5,2,2,2,4,5,5,4,4,4,5,4,3,4,4,5,5,4,4,5,5,4,4,5,5,4,5,4,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,136208.9, ,119517.5, ,38597.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
lAGJNrbjQo5,o7jn9Kd7,14/01/2025 23:04,14/01/2025 23:17,738,1,39.149.215.179,113.6482322,34.7492146,河南省,郑州市,COMPUTER,Windows,WeChat,1440px*900px,9_ISTP,2,4,3,1,3,4,5,5,3,3,5,4,5,4,5,4,4,4,5,4,5,3,4,4,5,4,4,5,4,4,5,4,5,3,5,4,5,3,4,3,5,4,5,5,4,5,3,4,4,4,3,5,2,4,5,4,3,5,4,5,5,4,2,1,1,4,3,5,2,1,3,1,2,1,4,3,4,4,5,4,4,5,4,4,5,3,5,3,4,5,3,3,4,5,4,3,5,4,2,4,3,5,4,4,5,4,3,5,4,5,5,4,5,4,4,3,5,2,5,4,3,5,4,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20339.6, ,5111.4, ,25569.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Xy4rovpq9xG,5Lwwp9nL,14/01/2025 22:49,14/01/2025 23:07,1095,1,119.133.6.219,113.0918938,22.584205,广东省,江门市,COMPUTER,Windows,WeChat,1920px*1080px,9_ISTP,1,5,2,1,3,4,3,2,3,4,4,3,2,3,3,4,4,3,3,2,2,2,1,2,2,2,2,2,2,3,2,4,4,3,4,2,3,3,2,2,1,2,2,2,3,3,4,2,3,2,2,2,2,1,3,2,2,2,4,3,3,2,3,2,2,4,5,5,2,1,2,2,1,1,1,1,1,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,2,3,1,2,2,2,4,4,4,3,4,2,3,3,3,4,4,5,5,4,4,2,3,3,3,2,2,3,4,3,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,70548.3, ,30968.2, ,30982.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
